0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:55 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:56 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/May/2015:17:53:56 -0400] "GET /mlm/images/products/1430061933579.jpg HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [15/May/2015:17:54:13 -0400] "POST /mlm/updateshoppingcart HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/May/2015:17:54:13 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/May/2015:17:54:16 -0400] "POST /mlm/updateshoppingcart HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [15/May/2015:17:54:17 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/May/2015:17:54:21 -0400] "POST /mlm/updateshoppingcart HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [15/May/2015:17:54:22 -0400] "POST /mlm/common/shoppingCartSummary HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [15/May/2015:17:59:39 -0400] "POST /mlm/makeOrder HTTP/1.1" 404 977
